tick,brake,wheel,abs
1,OFF,37,NORMAL
2,OFF,44,NORMAL
3,OFF,51,NORMAL
4,OFF,58,NORMAL
5,LIGHT,65,NORMAL
6,OFF,72,NORMAL
7,OFF,79,NORMAL
8,OFF,86,NORMAL
9,MEDIUM,32,ACTIVE
10,LIGHT,39,NORMAL
11,OFF,46,NORMAL
12,OFF,53,NORMAL
13,OFF,60,NORMAL
14,OFF,67,NORMAL
15,LIGHT,74,NORMAL
16,OFF,81,NORMAL
17,OFF,88,NORMAL
18,MEDIUM,34,ACTIVE
19,OFF,41,NORMAL
20,LIGHT,48,NORMAL
21,OFF,55,NORMAL
22,OFF,62,NORMAL
23,OFF,69,NORMAL
24,OFF,76,NORMAL
25,LIGHT,83,NORMAL
26,OFF,90,NORMAL
27,MEDIUM,36,ACTIVE
28,OFF,43,NORMAL
29,OFF,50,NORMAL
30,LIGHT,57,NORMAL
31,OFF,64,NORMAL
32,OFF,71,NORMAL
33,OFF,78,NORMAL
34,OFF,85,NORMAL
35,LIGHT,31,NORMAL
36,MEDIUM,38,ACTIVE
37,OFF,45,NORMAL
38,OFF,52,NORMAL
39,OFF,59,NORMAL
40,LIGHT,66,NORMAL
41,OFF,73,NORMAL
42,OFF,80,NORMAL
43,OFF,87,NORMAL
44,OFF,33,NORMAL
45,MEDIUM,40,ACTIVE
46,OFF,47,NORMAL
47,OFF,54,NORMAL
48,OFF,61,NORMAL
49,OFF,68,NORMAL
50,LIGHT,75,NORMAL
