tick,crash,airbag
1,NONE,READY
2,NONE,READY
3,NONE,READY
4,NONE,READY
5,NONE,READY
6,NONE,READY
7,NONE,READY
8,NONE,READY
9,NONE,READY
10,NONE,READY
11,NONE,READY
12,NONE,READY
13,NONE,READY
14,NONE,READY
15,NONE,READY
16,NONE,READY
17,NONE,READY
18,NONE,READY
19,NONE,READY
20,NONE,READY
21,NONE,READY
22,NONE,READY
23,NONE,READY
24,NONE,READY
25,NONE,READY
26,NONE,READY
27,NONE,READY
28,NONE,READY
29,NONE,READY
30,NONE,READY
31,NONE,READY
32,NONE,READY
33,NONE,READY
34,NONE,READY
35,DETECTED,DEPLOY
36,NONE,READY
37,NONE,READY
38,NONE,READY
39,NONE,READY
40,NONE,READY
41,NONE,READY
42,NONE,READY
43,NONE,READY
44,NONE,READY
45,NONE,READY
46,NONE,READY
47,NONE,READY
48,NONE,READY
49,NONE,READY
50,NONE,READY
