tick,eye,blink,head,score
1,OPEN,NORMAL,FORWARD,18
2,OPEN,NORMAL,FORWARD,25
3,OPEN,NORMAL,FORWARD,32
4,OPEN,NORMAL,FORWARD,39
5,PARTIAL,PROLONGED,DOWN,52
6,PARTIAL,PROLONGED,DOWN,61
7,PARTIAL,PROLONGED,DOWN,70
8,CLOSED,SUSTAINED,DOWN,82
9,CLOSED,SUSTAINED,DOWN,90
10,OPEN,NORMAL,FORWARD,22
11,OPEN,NORMAL,FORWARD,18
12,OPEN,NORMAL,FORWARD,25
13,OPEN,NORMAL,FORWARD,32
14,OPEN,NORMAL,FORWARD,39
15,PARTIAL,PROLONGED,DOWN,52
16,PARTIAL,PROLONGED,DOWN,61
17,PARTIAL,PROLONGED,DOWN,70
18,CLOSED,SUSTAINED,DOWN,82
19,CLOSED,SUSTAINED,DOWN,90
20,OPEN,NORMAL,FORWARD,22
21,OPEN,NORMAL,FORWARD,18
22,OPEN,NORMAL,FORWARD,25
23,OPEN,NORMAL,FORWARD,32
24,OPEN,NORMAL,FORWARD,39
25,PARTIAL,PROLONGED,DOWN,52
26,PARTIAL,PROLONGED,DOWN,61
27,PARTIAL,PROLONGED,DOWN,70
28,CLOSED,SUSTAINED,DOWN,82
29,CLOSED,SUSTAINED,DOWN,90
30,OPEN,NORMAL,FORWARD,22
31,OPEN,NORMAL,FORWARD,18
32,OPEN,NORMAL,FORWARD,25
33,OPEN,NORMAL,FORWARD,32
34,OPEN,NORMAL,FORWARD,39
35,PARTIAL,PROLONGED,DOWN,52
36,PARTIAL,PROLONGED,DOWN,61
37,PARTIAL,PROLONGED,DOWN,70
38,CLOSED,SUSTAINED,DOWN,82
39,CLOSED,SUSTAINED,DOWN,90
40,OPEN,NORMAL,FORWARD,22
41,OPEN,NORMAL,FORWARD,18
42,OPEN,NORMAL,FORWARD,25
43,OPEN,NORMAL,FORWARD,32
44,OPEN,NORMAL,FORWARD,39
45,PARTIAL,PROLONGED,DOWN,52
46,PARTIAL,PROLONGED,DOWN,61
47,PARTIAL,PROLONGED,DOWN,70
48,CLOSED,SUSTAINED,DOWN,82
49,CLOSED,SUSTAINED,DOWN,90
50,OPEN,NORMAL,FORWARD,22
