tick,rpm,temp,fuel
1,987,83,73
2,1124,84,72
3,1261,85,72
4,1398,86,71
5,1535,87,71
6,1672,88,70
7,1809,89,70
8,1946,90,69
9,2083,82,69
10,2220,83,68
11,2357,84,68
12,2494,85,67
13,2631,86,67
14,2768,87,66
15,2905,88,66
16,3042,89,65
17,3179,90,65
18,3316,82,64
19,853,83,64
20,990,84,63
21,1127,85,63
22,1264,86,62
23,1401,87,62
24,1538,88,61
25,1675,89,61
26,1812,90,60
27,1949,82,60
28,2086,83,59
29,2223,84,59
30,2360,85,58
31,2497,86,58
32,2634,87,57
33,2771,88,57
34,2908,89,56
35,3045,90,56
36,3182,82,55
37,3319,83,55
38,856,84,54
39,993,85,54
40,1130,86,53
41,1267,87,53
42,1404,88,52
43,1541,89,52
44,1678,90,51
45,1815,82,51
46,1952,83,50
47,2089,84,50
48,2226,85,49
49,2363,86,49
50,2500,87,48
